19	6	17	19	37	41	39	56	72	68	76
19.1	5	16	20	29	45	61	65	68	63	74
19.2	5	14	20	29	35	51	46	68	67	84
19.3	5	16	28	25	35	53	51	71	67	82
19.4	6	13	21	38	34	48	57	65	74	83
19.5	7	16	24	29	44	47	49	61	59	78
19.6	7	15	26	26	30	55	58	72	78	89
19.7	4	14	24	34	38	46	52	69	74	79
19.8	6	10	20	31	44	47	52	68	75	84
19.9	11	15	28	42	49	60	73	83	91	102
20	12	21	30	45	57	67	87	81	106	111
20.1	16	31	36	49	71	80	92	116	112	130
20.2	12	27	46	57	65	79	98	123	121	144
20.3	13	17	38	51	78	72	91	101	126	148
20.4	7	19	24	31	39	43	58	63	70	74
20.5	6	13	17	32	37	44	55	72	65	69
20.6	10	10	19	28	38	48	60	68	70	71
20.7	3	15	20	29	44	40	53	58	62	70
20.8	8	20	24	29	36	47	45	63	66	69
20.9	3	14	31	28	42	47	47	55	64	80
21	8	13	22	26	38	40	49	60	55	74
21.1	5	11	20	22	33	39	36	46	74	77
21.2	5	12	21	28	34	39	50	51	65	75
21.3	5	19	19	30	31	43	43	63	55	74
21.4	4	14	23	30	36	39	46	64	66	75
21.5	8	15	21	24	41	51	50	72	74	87
21.6	7	18	24	41	47	53	61	76	80	91
21.7	13	21	26	50	54	70	82	86	98	100
21.8	12	25	39	57	54	74	71	90	107	120
21.9	13	22	44	57	65	73	99	112	133	140
22	9	33	50	62	81	105	121	122	138	168
22.1	18	47	73	104	133	144	168	195	242	224
22.2	91	194	314	401	496	606	715	810	902	929
22.3	187	363	582	779	930	1118	1230	1401	1540	1696
22.4	316	672	985	1317	1583	1861	2132	2388	2666	2932
22.5	403	848	1261	1686	2082	2415	2671	3055	3279	3636
22.6	333	674	987	1361	1633	1914	2129	2513	2777	3097
22.7	55	113	182	210	293	359	410	503	577	634
22.8	23	48	73	114	133	130	187	182	227	254
22.9	10	34	50	63	86	107	114	113	138	159
23	13	22	37	57	71	86	86	100	123	137
23.1	12	18	42	50	53	70	83	87	98	107
23.2	6	23	29	38	53	57	63	82	95	113
23.3	8	21	26	35	54	52	62	82	98	106
23.4	9	19	28	39	44	49	61	75	76	85
23.5	8	15	18	28	44	53	66	75	82	80
23.6	6	20	26	33	40	46	72	71	79	95
23.7	5	15	23	35	43	52	67	61	74	89
23.8	5	14	21	33	40	47	53	60	65	89
23.9	6	12	33	30	37	47	57	61	72	73
24	7	20	24	36	37	51	50	49	67	75
