3	13776
3.1	13735
3.2	13759
3.3	13805
3.4	13864
3.5	13866
3.6	13647
3.7	12812
3.8	13973
3.9	13078
4	8095
4.1	5255
4.2	4475
4.3	3892
4.4	3657
4.5	3295
4.6	2986
4.7	2723
4.8	2324
4.9	2006
5	1729
5.1	1419
5.2	1205
5.3	977
5.4	874
5.5	751
5.6	715
5.7	699
5.8	684
5.9	716
6	711
6.1	706
6.2	771
6.3	749
6.4	793
6.5	788
6.6	830
6.7	841
6.8	858
6.9	906
7	948
7.1	991
7.2	993
7.3	1058
7.4	1111
7.5	1114
7.6	1158
7.7	1169
7.8	1240
7.9	1231
8	1270
8.1	1312
8.2	1336
8.3	1312
8.4	1363
8.5	1371
8.6	1402
8.7	1388
8.8	1397
8.9	1383
9	1375
9.1	1392
9.2	1369
9.3	1361
9.4	1304
9.5	1310
9.6	1276
9.7	1197
9.8	1124
9.9	1098
10	1032
10.1	968
10.2	954
10.3	896
10.4	877
10.5	850
10.6	782
10.7	740
10.8	736
10.9	658
11	645
11.1	585
11.2	561
11.3	545
11.4	485
11.5	450
11.6	450
11.7	439
11.8	415
11.9	400
12	413
12.1	397
12.2	397
12.3	381
12.4	390
12.5	362
12.6	370
12.7	379
12.8	370
12.9	387
13	373
13.1	353
13.2	354
13.3	358
13.4	325
13.5	327
13.6	322
13.7	301
13.8	294
13.9	283
14	301
14.1	285
14.2	292
14.3	291
14.4	303
14.5	302
14.6	307
14.7	289
14.8	301
14.9	308
15	304
15.1	295
15.2	300
15.3	297
15.4	288
15.5	303
15.6	290
15.7	311
15.8	295
15.9	296
16	300
16.1	298
16.2	299
16.3	289
16.4	308
16.5	300
16.6	305
16.7	289
16.8	300
16.9	303
17	287
17.1	298
17.2	269
17.3	290
17.4	305
17.5	286
17.6	286
17.7	285
17.8	301
17.9	293
18	295
18.1	306
18.2	279
18.3	297
18.4	283
18.5	285
18.6	298
18.7	293
18.8	308
18.9	301
19	309
19.1	300
19.2	301
19.3	292
19.4	282
19.5	322
19.6	301
19.7	293
19.8	316
19.9	395
20	862
20.1	1344
20.2	1960
20.3	2328
20.4	1506
20.5	531
20.6	447
20.7	408
20.8	389
20.9	369
21	360
21.1	349
21.2	331
21.3	334
21.4	330
21.5	316
21.6	360
21.7	337
21.8	323
21.9	362
22	379
22.1	470
22.2	765
22.3	2153
22.4	5014
22.5	6699
22.6	9200
22.7	6345
22.8	2270
22.9	591
23	463
23.1	386
23.2	362
23.3	322
23.4	307
23.5	288
23.6	283
23.7	290
23.8	278
23.9	258
24	264
24.1	258
24.2	263
24.3	255
24.4	250
24.5	251
24.6	228
24.7	214
24.8	217
24.9	226
25	214
25.1	231
25.2	208
25.3	212
25.4	199
25.5	205
25.6	221
25.7	217
25.8	212
25.9	200
26	207
26.1	209
26.2	190
26.3	182
26.4	179
26.5	192
26.6	193
26.7	188
26.8	189
26.9	179
27	194
27.1	176
27.2	169
27.3	162
27.4	159
27.5	179
27.6	164
27.7	175
27.8	159
27.9	154
28	155
28.1	148
28.2	150
28.3	165
28.4	171
28.5	147
28.6	156
28.7	154
28.8	134
28.9	145
29	144
29.1	151
29.2	148
29.3	147
29.4	147
29.5	144
29.6	145
29.7	144
29.8	145
29.9	139
30	137
30.1	141
30.2	143
30.3	138
30.4	141
30.5	149
30.6	130
30.7	129
30.8	135
30.9	132
31	137
31.1	124
31.2	126
31.3	119
31.4	130
31.5	117
31.6	124
31.7	124
31.8	134
31.9	139
32	139
32.1	131
32.2	130
32.3	129
32.4	125
32.5	122
32.6	140
32.7	120
32.8	110
32.9	118
33	128
33.1	138
33.2	134
33.3	138
33.4	143
33.5	153
33.6	142
33.7	143
33.8	135
33.9	141
34	135
34.1	130
34.2	137
34.3	125
34.4	135
34.5	134
34.6	120
34.7	116
34.8	119
34.9	120
35	104
35.1	109
35.2	96
35.3	111
35.4	101
35.5	108
35.6	110
35.7	114
35.8	108
35.9	103
36	99
36.1	98
36.2	91
36.3	103
36.4	108
36.5	101
36.6	92
36.7	90
36.8	104
36.9	101
37	100
37.1	90
37.2	89
37.3	94
37.4	96
37.5	93
37.6	94
37.7	101
37.8	96
37.9	95
38	101
38.1	91
38.2	96
38.3	85
38.4	106
38.5	101
38.6	97
38.7	87
38.8	94
38.9	92
39	92
39.1	80
39.2	86
39.3	91
39.4	97
39.5	91
39.6	90
39.7	92
39.8	92
39.9	90
40	97
40.1	85
40.2	95
40.3	105
40.4	101
40.5	88
40.6	89
40.7	86
40.8	88
40.9	84
41	95
41.1	78
41.2	91
41.3	84
41.4	94
41.5	87
41.6	82
41.7	86
41.8	77
41.9	92
42	82
42.1	75
42.2	91
42.3	91
42.4	84
42.5	87
42.6	86
42.7	85
42.8	83
42.9	88
43	85
43.1	83
43.2	84
43.3	93
43.4	108
43.5	102
43.6	125
43.7	302
43.8	385
43.9	353
44	390
44.1	253
44.2	110
44.3	106
44.4	105
44.5	91
44.6	100
44.7	99
44.8	91
44.9	85
45	81
45.1	100
45.2	85
45.3	91
45.4	88
45.5	85
45.6	90
45.7	96
45.8	86
45.9	87
46	80
46.1	93
46.2	97
46.3	85
46.4	82
46.5	78
46.6	85
46.7	84
46.8	98
46.9	75
47	85
47.1	89
47.2	81
47.3	98
47.4	92
47.5	78
47.6	92
47.7	87
47.8	98
47.9	102
48	94
48.1	80
48.2	95
48.3	81
48.4	93
48.5	86
48.6	76
48.7	98
48.8	102
48.9	92
49	103
49.1	97
49.2	105
49.3	110
49.4	117
49.5	130
49.6	123
49.7	154
49.8	282
49.9	958
50	1368
50.1	1406
50.2	1513
50.3	1003
50.4	640
50.5	299
50.6	146
50.7	134
50.8	126
50.9	115
51	112
51.1	106
51.2	103
51.3	99
51.4	96
51.5	101
51.6	107
51.7	99
51.8	91
51.9	101
52	96
52.1	96
52.2	100
52.3	102
52.4	87
52.5	96
52.6	93
52.7	94
52.8	87
52.9	89
53	92
53.1	94
53.2	87
53.3	89
53.4	91
53.5	95
53.6	83
53.7	95
53.8	88
53.9	85
54	88
54.1	92
54.2	91
54.3	86
54.4	87
54.5	93
54.6	91
54.7	100
54.8	87
54.9	87
55	85
